t_s,gw_id,dr,sf,frequency_hz,rssi_dbm,snr_db,req_db,margin_db
10.066818,0,5,7,868500000.000000,-106.429775,10.601125,-7.500000,18.101125
70.066818,0,5,7,868100000.000000,-106.429775,10.601125,-7.500000,18.101125
130.066818,0,5,7,868500000.000000,-106.429775,10.601125,-7.500000,18.101125
190.066818,0,5,7,868100000.000000,-106.429775,10.601125,-7.500000,18.101125
250.066818,0,5,7,868300000.000000,-106.429775,10.601125,-7.500000,18.101125
310.066818,0,5,7,868100000.000000,-106.429775,10.601125,-7.500000,18.101125
370.066818,0,5,7,868100000.000000,-106.429775,10.601125,-7.500000,18.101125
430.066818,0,5,7,868100000.000000,-106.429775,10.601125,-7.500000,18.101125
490.066818,0,5,7,868500000.000000,-106.429775,10.601125,-7.500000,18.101125
550.066818,0,5,7,868500000.000000,-106.429775,10.601125,-7.500000,18.101125
