t_s,gw_id,dr,sf,frequency_hz,rssi_dbm,snr_db,req_db,margin_db
10.066816,0,5,7,868500000.000000,-90.300988,26.729912,-7.500000,34.229912
70.066816,0,5,7,868100000.000000,-90.300988,26.729912,-7.500000,34.229912
130.066816,0,5,7,868500000.000000,-90.300988,26.729912,-7.500000,34.229912
190.066816,0,5,7,868100000.000000,-90.300988,26.729912,-7.500000,34.229912
250.066816,0,5,7,868300000.000000,-90.300988,26.729912,-7.500000,34.229912
310.066816,0,5,7,868100000.000000,-90.300988,26.729912,-7.500000,34.229912
370.066816,0,5,7,868100000.000000,-90.300988,26.729912,-7.500000,34.229912
430.066816,0,5,7,868100000.000000,-90.300988,26.729912,-7.500000,34.229912
490.066816,0,5,7,868500000.000000,-90.300988,26.729912,-7.500000,34.229912
550.066816,0,5,7,868500000.000000,-90.300988,26.729912,-7.500000,34.229912
